Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
928759164,0.905686,-0.255322,-0.355355
928808045,0.932591,-0.209097,-0.334967
928856923,0.951454,-0.173527,-0.366637
928905800,0.950680,-0.163457,-0.335621
928954678,0.959314,-0.144589,-0.315014
929003554,0.950328,-0.153999,-0.325334
929052420,0.941160,-0.145124,-0.336086
929101294,0.968284,-0.135177,-0.304648
929150166,0.977618,-0.117240,-0.315323
929199041,0.976931,-0.098327,-0.294796
929247923,0.985793,-0.079768,-0.284602
929296801,0.985625,-0.043498,-0.295779
929345683,1.003526,-0.006686,-0.285682
929394561,1.002293,0.021987,-0.244550
929443438,1.001515,0.050042,-0.224241
929492314,1.003221,0.020750,-0.286234
929541190,0.986167,-0.035277,-0.327106
929590070,0.986927,-0.063331,-0.347371
929638953,0.987048,-0.054494,-0.357953
929687832,0.976849,-0.053217,-0.316476
929736704,0.986717,-0.063023,-0.337006
929785575,0.977322,-0.053837,-0.337347
929834456,0.986614,-0.071862,-0.326467
929883335,0.986841,-0.072171,-0.336881
929932216,0.986262,-0.062405,-0.316181
929981109,0.986824,-0.072169,-0.336835
930029988,0.977275,-0.071815,-0.326501
930078866,0.986807,-0.072167,-0.336789
930127746,0.977395,-0.062979,-0.337083
930176624,0.986700,-0.063021,-0.336960
930225509,0.995686,-0.053611,-0.326641
930274390,0.986472,-0.062712,-0.326549
930323273,0.995901,-0.071902,-0.326299
930372157,0.986141,-0.071241,-0.305597
930421030,0.995343,-0.080122,-0.294931
930469900,0.986447,-0.098676,-0.305043
930518768,0.995189,-0.088954,-0.284267
930567643,0.995751,-0.098718,-0.304919
930616510,0.995309,-0.080118,-0.294849
930665379,0.985686,-0.070623,-0.284772
930714251,1.004961,-0.071633,-0.315719
930763119,0.995562,-0.044463,-0.326767
930811997,0.994934,0.010409,-0.327837
930860872,0.994079,0.065593,-0.318494
930909747,1.010458,0.158512,-0.267850
930958620,0.999086,0.296358,-0.249712
931007494,0.968972,0.407470,-0.210485
931056367,0.948592,0.481957,-0.170450
931105242,0.931023,0.525596,-0.244407
931154127,0.904503,0.541858,-0.318041
931203008,0.902510,0.580627,-0.245903
931251885,0.890148,0.629791,-0.132296
931300754,0.907724,0.640077,-0.090551
931349625,0.897859,0.631914,-0.059275
931398497,0.906936,0.632181,-0.048737
931447374,0.943327,0.588139,0.015096
931496251,0.962563,0.551140,0.005614
931545128,0.970745,0.552655,0.057800
931594007,0.979946,0.543788,0.068516
931642883,0.988431,0.535826,0.110452
931691763,0.979098,0.517875,0.121068
931740650,0.987843,0.509626,0.152615
931789530,0.988832,0.481251,0.121875
931838411,0.996800,0.501057,0.173735
931887296,0.997362,0.491292,0.153081
931936166,0.988270,0.491015,0.142527
931985035,0.979553,0.517257,0.100245
932033906,0.970034,0.535590,0.099780
932082780,0.969471,0.545354,0.120431
932131651,0.959468,0.546313,0.151522
932180521,0.949483,0.529312,0.193404
932229388,0.958910,0.520135,0.193723
932278256,0.969006,0.510020,0.162780
932327128,0.978405,0.482850,0.173829
932376003,1.006534,0.464432,0.174542
932424866,1.006414,0.455595,0.185126
932473726,1.016389,0.436643,0.164767
932522597,0.997796,0.436737,0.164540
932571472,1.007192,0.427540,0.164814
932620346,1.006981,0.427858,0.175248
932718110,1.016389,0.436643,0.164767
932766998,1.016373,0.436634,0.164746
932815876,1.025802,0.427455,0.165061
932864755,1.025450,0.436901,0.175281
932913639,1.016360,0.418652,0.175499
932962511,1.016493,0.445470,0.154164
933011390,1.025785,0.427446,0.165041
933060272,1.016617,0.436334,0.154354
933109153,1.016389,0.436643,0.164767
933158039,1.016845,0.436025,0.143942
933206924,1.006961,0.445822,0.164451
933255812,1.007188,0.445512,0.154040
933304705,1.016038,0.446089,0.174986
933353594,1.016493,0.445470,0.154164
