Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
929859083,0.904238,-0.465814,0.072480
929908663,0.903911,-0.474584,0.083036
929958245,0.894670,-0.465334,0.093187
930057413,0.895068,-0.474739,0.061970
930106995,0.904076,-0.474736,0.072625
930156580,0.885289,-0.483160,0.082920
930206159,0.884421,-0.500527,0.114535
930255740,0.884822,-0.519005,0.073060
930305345,0.875254,-0.518526,0.093768
930354909,0.875630,-0.509778,0.083118
930404495,0.875597,-0.509763,0.083179
930454087,0.855939,-0.526482,0.135369
930503675,0.865686,-0.518047,0.114481
930553265,0.875973,-0.501015,0.072527
930602850,0.885684,-0.483492,0.061969
930652438,0.904581,-0.457051,0.061893
930702032,0.914811,-0.412778,0.050835
930751622,0.934447,-0.377906,0.019216
930801208,0.954209,-0.334103,-0.012460
930850795,0.965023,-0.317541,-0.085685
930949961,0.948628,-0.328037,-0.211256
930999539,0.957146,-0.354802,-0.200089
931049113,0.966118,-0.381912,-0.210162
931098692,0.985115,-0.328388,-0.189647
931148270,1.014039,-0.221209,-0.149321
931197852,1.051135,-0.149561,-0.087242
931247434,1.070235,-0.041729,-0.015551
931297012,1.069434,0.004309,0.077665
931346591,1.059791,0.013871,0.108754
931445756,1.040185,0.069651,0.232852
931495331,1.030687,0.097210,0.274047
931544915,1.021446,0.106460,0.284195
931594489,1.011338,0.098342,0.325954
931644065,1.002078,0.116672,0.346397
931693648,1.001859,0.134991,0.377426
931743225,0.983052,0.144733,0.408325
931792805,0.964918,0.153822,0.397415
931842381,0.964248,0.136303,0.418601
931891957,0.964101,0.136474,0.429080
931941533,0.964987,0.153847,0.397475
931991113,0.964609,0.145072,0.408032
932040700,0.983270,0.135500,0.387601
932090280,1.001771,0.107920,0.357001
932139865,0.981937,0.073202,0.399047
932239028,0.981557,0.073515,0.419912
932288615,0.963632,0.109714,0.429536
932338197,0.953468,0.119752,0.491883
932387773,0.944919,0.128355,0.460214
932437358,0.953504,0.110677,0.481612
932486931,0.944444,0.119768,0.481320
932536506,0.944285,0.101760,0.471141
932586079,0.953525,0.092510,0.460990
932635651,0.953473,0.101580,0.471237
932685223,0.944594,0.110512,0.460505
932734799,0.944265,0.110841,0.481439
932784373,0.943939,0.102083,0.492056
932833952,0.935060,0.111016,0.481319
932883529,0.943922,0.102078,0.492027
932982684,0.935024,0.120091,0.491590
933032256,0.934810,0.120238,0.501974
933081831,0.944068,0.110994,0.491854
933131403,0.925981,0.129188,0.491327
933180976,0.944787,0.128531,0.470730
933230545,0.935008,0.120085,0.491562
933280121,0.935203,0.129018,0.491473
933329701,0.935565,0.128701,0.470584
933379281,0.944590,0.128684,0.481148
933428867,0.925951,0.120090,0.480947
933478448,0.944428,0.119763,0.481293
933528031,0.944084,0.111000,0.491882
933577619,0.954010,0.128362,0.470876
933627209,0.944065,0.120080,0.502179
933676791,0.944718,0.137594,0.480949
933726380,0.953616,0.119582,0.481386
933775964,0.944578,0.110507,0.460482
933825547,0.935370,0.119768,0.470679
933875134,0.944592,0.119598,0.470825
933924720,0.935189,0.119926,0.481120
933974303,0.944590,0.128684,0.481148
934023877,0.935041,0.120096,0.491618
934073468,0.944590,0.128684,0.481148
934123057,0.935222,0.119938,0.481174
934222244,0.925984,0.120101,0.481001
934271823,0.944392,0.128837,0.491563
934321400,0.935189,0.119926,0.481120
934370977,0.953106,0.120069,0.512769
934420558,0.916762,0.120271,0.480855
934470143,0.925443,0.111491,0.502003
934519726,0.944246,0.119921,0.491736
934569309,0.935238,0.119943,0.481201
934618879,0.944263,0.119927,0.491765
934668452,0.934810,0.120238,0.501974
934718031,0.935044,0.111010,0.481293
934767611,0.944263,0.119927,0.491765
934817197,0.935387,0.119773,0.470704
